Page Name,User Name,Page Id,URL,Beginning Of Interval,Complete,Page Likes,Page Like Growth,Post Count,Total Interactions,Interaction Growth,Interaction Rate,Interactions Per Post,Comments,Shares,Total Reactions (including Likes),Likes,Angry,Haha,Wow,Sad,Love,Photo Posts,Photo Interactions,Photo Interaction Rate,Link Posts,Link Interactions,Link Interaction Rate,Status Posts,Status Interactions,Status Interaction Rate,Facebook Video Posts (excluding Live),Facebook Video Interactions (excluding Live),Facebook Video Interaction Rate (excluding Live),Facebook Live Video Posts,Facebook Live Interactions,Facebook Live Interaction Rate,Owned Facebook Video Posts (FB Video and Live),Owned Video Views (FB Video and Live),Owned Video Views from Page Posts (FB Video and Live),Owned Video Views (FB Video),Owned Video Views (FB Live),Owned Video Views from Shares (FB Video and Live),Videos Shared by Page (not included in Owned Videos),Video Views on Videos Shared by Page,Total Video Time,Videos - Unknown - Owned Video Views,Videos - Unknown - Owned Video Views from Page Posts,Videos - Unknown - Owned Facebook Videos,Videos - Unknown - Videos Shared By Page (not included in Owned Videos),Videos - Unknown - Video Views on Videos Shared by Page,Videos - 0-15 Seconds - Owned Video Views,Videos - 0-15 Seconds - Owned Video Views from Page Posts,Videos - 0-15 Seconds - Owned Facebook Videos,Videos - 0-15 Seconds - Videos Shared By Page (not included in Owned Videos),Videos - 0-15 Seconds - Video Views on Videos Shared by Page,Videos - 15-30 Seconds - Owned Video Views,Videos - 15-30 Seconds - Owned Video Views from Page Posts,Videos - 15-30 Seconds - Owned Facebook Videos,Videos - 15-30 Seconds - Videos Shared By Page (not included in Owned Videos),Videos - 15-30 Seconds - Video Views on Videos Shared by Page,Videos - 31-60 Seconds - Owned Video Views,Videos - 31-60 Seconds - Owned Video Views from Page Posts,Videos - 31-60 Seconds - Owned Facebook Videos,Videos - 31-60 Seconds - Videos Shared By Page (not included in Owned Videos),Videos - 31-60 Seconds - Video Views on Videos Shared by Page,Videos - 1-2 Minutes - Owned Video Views,Videos - 1-2 Minutes - Owned Video Views from Page Posts,Videos - 1-2 Minutes - Owned Facebook Videos,Videos - 1-2 Minutes - Videos Shared By Page (not included in Owned Videos),Videos - 1-2 Minutes - Video Views on Videos Shared by Page,Videos - 2-3 Minutes - Owned Video Views,Videos - 2-3 Minutes - Owned Video Views from Page Posts,Videos - 2-3 Minutes - Owned Facebook Videos,Videos - 2-3 Minutes - Videos Shared By Page (not included in Owned Videos),Videos - 2-3 Minutes - Video Views on Videos Shared by Page,Videos - 3+ Minutes - Owned Video Views,Videos - 3+ Minutes - Owned Video Views from Page Posts,Videos - 3+ Minutes - Owned Facebook Videos,Videos - 3+ Minutes - Videos Shared By Page (not included in Owned Videos),Videos - 3+ Minutes - Video Views on Videos Shared by Page,Live Videos - Unknown - Owned Video Views,Live Videos - Unknown - Owned Video Views from Page Posts,Live Videos - Unknown - Owned Facebook Videos,Live Videos - Unknown - Videos Shared By Page (not included in Owned Videos),Live Videos - Unknown - Video Views on Videos Shared by Page,Live Videos - 0-15 Seconds - Owned Video Views,Live Videos - 0-15 Seconds - Owned Video Views from Page Posts,Live Videos - 0-15 Seconds - Owned Facebook Videos,Live Videos - 0-15 Seconds - Videos Shared By Page (not included in Owned Videos),Live Videos - 0-15 Seconds - Video Views on Videos Shared by Page,Live Videos - 15-30 Seconds - Owned Video Views,Live Videos - 15-30 Seconds - Owned Video Views from Page Posts,Live Videos - 15-30 Seconds - Owned Facebook Videos,Live Videos - 15-30 Seconds - Videos Shared By Page (not included in Owned Videos),Live Videos - 15-30 Seconds - Video Views on Videos Shared by Page,Live Videos - 31-60 Seconds - Owned Video Views,Live Videos - 31-60 Seconds - Owned Video Views from Page Posts,Live Videos - 31-60 Seconds - Owned Facebook Videos,Live Videos - 31-60 Seconds - Videos Shared By Page (not included in Owned Videos),Live Videos - 31-60 Seconds - Video Views on Videos Shared by Page,Live Videos - 1-2 Minutes - Owned Video Views,Live Videos - 1-2 Minutes - Owned Video Views from Page Posts,Live Videos - 1-2 Minutes - Owned Facebook Videos,Live Videos - 1-2 Minutes - Videos Shared By Page (not included in Owned Videos),Live Videos - 1-2 Minutes - Video Views on Videos Shared by Page,Live Videos - 2-3 Minutes - Owned Video Views,Live Videos - 2-3 Minutes - Owned Video Views from Page Posts,Live Videos - 2-3 Minutes - Owned Facebook Videos,Live Videos - 2-3 Minutes - Videos Shared By Page (not included in Owned Videos),Live Videos - 2-3 Minutes - Video Views on Videos Shared by Page,Live Videos - 3+ Minutes - Owned Video Views,Live Videos - 3+ Minutes - Owned Video Views from Page Posts,Live Videos - 3+ Minutes - Owned Facebook Videos,Live Videos - 3+ Minutes - Videos Shared By Page (not included in Owned Videos),Live Videos - 3+ Minutes - Video Views on Videos Shared by Page,Other Video Posts,Other Video Interactions,Other Video Interaction Rate,YouTube Posts,YouTube Interactions,YouTube Interaction Rate
Luis Fernando Camacho,LFCamachoVaca,1239026999516818,//www.facebook.com/1239026999516818,2019-10-24 00:00:00,Yes,125977,12.37%,13,49574,0%,3.03%,"3,813.38",2003,9016,38555,29585,110,315,61,29,8454,8,34793,3.4522174682680173%,0,0,NA,1,4038,3.2053470077871355%,3,9724,2.572691840574073%,0,0,NA,3,63865,43805,43805,0,20060,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8488,7667,1,0,0,27639,18758,1,0,0,27738,17380,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,NA,1,1019,0.8088778110289973%
Luis Fernando Camacho,LFCamachoVaca,1239026999516818,//www.facebook.com/1239026999516818,2019-10-25 00:00:00,Yes,139707,10.9%,8,77668,56.67%,6.95%,"9,708.5",5295,18953,53420,37327,418,1414,222,49,13990,5,30407,4.35268096802594%,1,808,0.5783532679106989%,0,0,NA,2,46453,16.624793317442936%,0,0,NA,2,231784,136641,136641,0,95143,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231784,136641,2,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,NA,0,0,NA
Luis Fernando Camacho,LFCamachoVaca,1239026999516818,//www.facebook.com/1239026999516818,2019-10-26 00:00:00,Yes,146288,4.71%,9,51068,-34.25%,3.88%,"5,674.22",4180,8380,38508,28890,220,493,69,17,8819,7,39653,3.8718145028983924%,1,2973,2.032292464180247%,0,0,NA,1,8442,5.770808268620803%,0,0,NA,1,23627,12210,12210,0,11417,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23627,12210,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,NA,0,0,NA
Luis Fernando Camacho,LFCamachoVaca,1239026999516818,//www.facebook.com/1239026999516818,2019-10-27 00:00:00,Yes,152056,3.94%,7,29366,-42.5%,2.76%,"4,195.14",1459,3801,24106,17551,274,293,34,22,5932,5,18896,2.4852685852580625%,0,0,NA,0,0,NA,2,10470,3.4428105434839797%,0,0,NA,2,45926,27464,27464,0,18462,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4508,2521,1,0,0,0,0,0,0,0,0,0,0,0,0,41418,24943,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,NA,0,0,NA
Luis Fernando Camacho,LFCamachoVaca,1239026999516818,//www.facebook.com/1239026999516818,2019-10-28 00:00:00,Yes,163663,7.63%,10,56051,90.87%,3.42%,"5,605.1",4021,7215,44815,31094,211,733,38,49,12690,8,27285,2.083549733293414%,0,0,NA,1,16616,10.152569609502454%,1,12150,7.423791571705272%,0,0,NA,1,82422,41922,41922,0,40500,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82422,41922,1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,NA,0,0,NA
Luis Fernando Camacho,LFCamachoVaca,1239026999516818,//www.facebook.com/1239026999516818,2019-10-29 00:00:00,Yes,170510,4.18%,9,48316,-13.8%,3.15%,"5,368.44",2811,9319,36186,25947,350,327,153,27,9382,7,41530,3.478974840185326%,0,0,NA,0,0,NA,2,6786,1.9899126150958888%,0,0,NA,2,50977,38215,38215,0,12762,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17635,14506,1,0,0,0,0,0,0,0,33342,23709,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,NA,0,0,NA
Luis Fernando Camacho,LFCamachoVaca,1239026999516818,//www.facebook.com/1239026999516818,2019-10-30 00:00:00,Yes,173467,1.73%,8,39021,-19.24%,2.81%,"4,877.62",3610,4840,30571,21434,292,315,51,34,8445,5,24369,2.8091798440049116%,0,0,NA,0,0,NA,2,8656,2.4949990488104365%,1,5996,3.4565652256625183%,3,101324,65692,44435,21257,35632,0,0,00:36:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62365,44435,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38959,21257,1,0,0,0,0,NA,0,0,NA
Luis Fernando Camacho,LFCamachoVaca,1239026999516818,//www.facebook.com/1239026999516818,2019-10-31 00:00:00,Yes,180926,4.3%,12,104070,166.7%,4.79%,"8,672.5",7867,21742,74461,43465,647,678,51,14527,15093,8,83375,5.759813404375269%,0,0,NA,0,0,NA,2,10893,3.010070415529001%,2,9802,2.708842289112676%,4,143643,75995,49637,26358,67648,0,0,00:56:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46600,28862,1,0,0,0,0,0,0,0,40758,20775,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56285,26358,2,0,0,0,0,NA,0,0,NA
Luis Fernando Camacho,LFCamachoVaca,1239026999516818,//www.facebook.com/1239026999516818,2019-11-01 00:00:00,Yes,185191,2.36%,9,57443,-44.8%,3.45%,"6,382.56",4484,8041,44918,30241,291,955,135,1513,11783,6,37351,3.3613944522142%,0,0,NA,0,0,NA,2,14108,3.8090403961315613%,1,5984,3.231258538481892%,3,121099,69221,52469,16752,51878,0,0,00:38:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86578,52469,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34521,16752,1,0,0,0,0,NA,0,0,NA
Luis Fernando Camacho,LFCamachoVaca,1239026999516818,//www.facebook.com/1239026999516818,2019-11-02 00:00:00,Yes,189085,2.1%,13,88325,53.76%,3.59%,"6,794.23",14092,14598,59635,39534,499,2519,136,42,16904,8,43044,2.845281222730518%,1,5636,2.98067006901658%,0,0,NA,2,15896,4.203400587037576%,2,23749,6.279715471877727%,4,266760,109407,54661,54746,157353,0,0,01:49:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90811,37168,1,0,0,36046,17493,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139903,54746,2,0,0,0,0,NA,0,0,NA
