Page Name,User Name,Page Id,URL,Beginning Of Interval,Complete,Page Likes,Page Like Growth,Post Count,Total Interactions,Interaction Growth,Interaction Rate,Interactions Per Post,Comments,Shares,Total Reactions (including Likes),Likes,Angry,Haha,Wow,Sad,Love,Photo Posts,Photo Interactions,Photo Interaction Rate,Link Posts,Link Interactions,Link Interaction Rate,Status Posts,Status Interactions,Status Interaction Rate,Facebook Video Posts (excluding Live),Facebook Video Interactions (excluding Live),Facebook Video Interaction Rate (excluding Live),Facebook Live Video Posts,Facebook Live Interactions,Facebook Live Interaction Rate,Owned Facebook Video Posts (FB Video and Live),Owned Video Views (FB Video and Live),Owned Video Views from Page Posts (FB Video and Live),Owned Video Views (FB Video),Owned Video Views (FB Live),Owned Video Views from Shares (FB Video and Live),Videos Shared by Page (not included in Owned Videos),Video Views on Videos Shared by Page,Total Video Time,Videos - Unknown - Owned Video Views,Videos - Unknown - Owned Video Views from Page Posts,Videos - Unknown - Owned Facebook Videos,Videos - Unknown - Videos Shared By Page (not included in Owned Videos),Videos - Unknown - Video Views on Videos Shared by Page,Videos - 0-15 Seconds - Owned Video Views,Videos - 0-15 Seconds - Owned Video Views from Page Posts,Videos - 0-15 Seconds - Owned Facebook Videos,Videos - 0-15 Seconds - Videos Shared By Page (not included in Owned Videos),Videos - 0-15 Seconds - Video Views on Videos Shared by Page,Videos - 15-30 Seconds - Owned Video Views,Videos - 15-30 Seconds - Owned Video Views from Page Posts,Videos - 15-30 Seconds - Owned Facebook Videos,Videos - 15-30 Seconds - Videos Shared By Page (not included in Owned Videos),Videos - 15-30 Seconds - Video Views on Videos Shared by Page,Videos - 31-60 Seconds - Owned Video Views,Videos - 31-60 Seconds - Owned Video Views from Page Posts,Videos - 31-60 Seconds - Owned Facebook Videos,Videos - 31-60 Seconds - Videos Shared By Page (not included in Owned Videos),Videos - 31-60 Seconds - Video Views on Videos Shared by Page,Videos - 1-2 Minutes - Owned Video Views,Videos - 1-2 Minutes - Owned Video Views from Page Posts,Videos - 1-2 Minutes - Owned Facebook Videos,Videos - 1-2 Minutes - Videos Shared By Page (not included in Owned Videos),Videos - 1-2 Minutes - Video Views on Videos Shared by Page,Videos - 2-3 Minutes - Owned Video Views,Videos - 2-3 Minutes - Owned Video Views from Page Posts,Videos - 2-3 Minutes - Owned Facebook Videos,Videos - 2-3 Minutes - Videos Shared By Page (not included in Owned Videos),Videos - 2-3 Minutes - Video Views on Videos Shared by Page,Videos - 3+ Minutes - Owned Video Views,Videos - 3+ Minutes - Owned Video Views from Page Posts,Videos - 3+ Minutes - Owned Facebook Videos,Videos - 3+ Minutes - Videos Shared By Page (not included in Owned Videos),Videos - 3+ Minutes - Video Views on Videos Shared by Page,Live Videos - Unknown - Owned Video Views,Live Videos - Unknown - Owned Video Views from Page Posts,Live Videos - Unknown - Owned Facebook Videos,Live Videos - Unknown - Videos Shared By Page (not included in Owned Videos),Live Videos - Unknown - Video Views on Videos Shared by Page,Live Videos - 0-15 Seconds - Owned Video Views,Live Videos - 0-15 Seconds - Owned Video Views from Page Posts,Live Videos - 0-15 Seconds - Owned Facebook Videos,Live Videos - 0-15 Seconds - Videos Shared By Page (not included in Owned Videos),Live Videos - 0-15 Seconds - Video Views on Videos Shared by Page,Live Videos - 15-30 Seconds - Owned Video Views,Live Videos - 15-30 Seconds - Owned Video Views from Page Posts,Live Videos - 15-30 Seconds - Owned Facebook Videos,Live Videos - 15-30 Seconds - Videos Shared By Page (not included in Owned Videos),Live Videos - 15-30 Seconds - Video Views on Videos Shared by Page,Live Videos - 31-60 Seconds - Owned Video Views,Live Videos - 31-60 Seconds - Owned Video Views from Page Posts,Live Videos - 31-60 Seconds - Owned Facebook Videos,Live Videos - 31-60 Seconds - Videos Shared By Page (not included in Owned Videos),Live Videos - 31-60 Seconds - Video Views on Videos Shared by Page,Live Videos - 1-2 Minutes - Owned Video Views,Live Videos - 1-2 Minutes - Owned Video Views from Page Posts,Live Videos - 1-2 Minutes - Owned Facebook Videos,Live Videos - 1-2 Minutes - Videos Shared By Page (not included in Owned Videos),Live Videos - 1-2 Minutes - Video Views on Videos Shared by Page,Live Videos - 2-3 Minutes - Owned Video Views,Live Videos - 2-3 Minutes - Owned Video Views from Page Posts,Live Videos - 2-3 Minutes - Owned Facebook Videos,Live Videos - 2-3 Minutes - Videos Shared By Page (not included in Owned Videos),Live Videos - 2-3 Minutes - Video Views on Videos Shared by Page,Live Videos - 3+ Minutes - Owned Video Views,Live Videos - 3+ Minutes - Owned Video Views from Page Posts,Live Videos - 3+ Minutes - Owned Facebook Videos,Live Videos - 3+ Minutes - Videos Shared By Page (not included in Owned Videos),Live Videos - 3+ Minutes - Video Views on Videos Shared by Page,Other Video Posts,Other Video Interactions,Other Video Interaction Rate,YouTube Posts,YouTube Interactions,YouTube Interaction Rate
Carlos D. Mesa Gisbert,carlosdmesag,286305325299682,//www.facebook.com/286305325299682,2019-10-01 00:00:00,Yes,137609,1.41%,7,41093,0%,4.27%,"5,870.43",5150,6294,29649,20995,540,3718,142,643,3611,5,34674,5.038914605876069%,0,0,NA,0,0,NA,1,2038,1.4810077829211752%,1,4381,3.1836580456220163%,2,54470,25159,4943,20216,29311,0,0,00:10:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9932,4943,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44538,20216,1,0,0,0,0,NA,0,0,NA
Carlos D. Mesa Gisbert,carlosdmesag,286305325299682,//www.facebook.com/286305325299682,2019-10-02 00:00:00,Yes,139229,1.18%,12,25696,-37.47%,1.54%,"2,141.33",2510,3504,19682,15164,223,452,122,147,3574,5,12310,1.7683097630522375%,0,0,NA,0,0,NA,0,0,NA,7,13386,1.3732771189910147%,7,75743,46183,0,46183,29560,0,0,00:56:18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2368,1770,1,0,0,0,0,0,0,0,6049,2907,1,0,0,67326,41506,5,0,0,0,0,NA,0,0,NA
Carlos D. Mesa Gisbert,carlosdmesag,286305325299682,//www.facebook.com/286305325299682,2019-10-03 00:00:00,Yes,140471,0.89%,13,22542,-12.27%,1.23%,"1,734",2253,3209,17080,12867,632,332,102,19,3128,3,7665,1.818880765424892%,0,0,NA,0,0,NA,1,1380,0.9824091805426032%,9,13497,1.0671241750966391%,10,71930,45187,4380,40807,26743,0,0,01:06:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6804,4380,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11743,7795,3,0,0,53383,33012,6,0,0,0,0,NA,0,0,NA
Carlos D. Mesa Gisbert,carlosdmesag,286305325299682,//www.facebook.com/286305325299682,2019-10-04 00:00:00,Yes,140891,0.3%,11,23642,4.88%,1.53%,"2,149.27",1505,3550,18587,14511,119,627,127,5,3198,5,12003,1.70344450674635%,0,0,NA,0,0,NA,3,8133,1.924182524078898%,3,3506,0.8290096599498904%,6,60484,37482,25866,11616,23002,0,0,00:14:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44219,25866,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16265,11616,3,0,0,0,0,NA,0,0,NA
Carlos D. Mesa Gisbert,carlosdmesag,286305325299682,//www.facebook.com/286305325299682,2019-10-05 00:00:00,Yes,141577,0.49%,7,48939,107%,4.94%,"6,991.29",7824,7763,33352,22714,728,3650,300,21,5939,3,17239,4.058568835333422%,0,0,NA,0,0,NA,1,9402,6.640909187226739%,3,22298,5.249440233936303%,4,240859,98130,29292,68838,142729,0,0,00:30:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76325,29292,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10403,7861,1,0,0,0,0,0,0,0,154131,60977,2,0,0,0,0,NA,0,0,NA
Carlos D. Mesa Gisbert,carlosdmesag,286305325299682,//www.facebook.com/286305325299682,2019-10-06 00:00:00,Yes,142313,0.52%,7,17875,-63.47%,1.79%,"2,553.57",2160,2132,13583,10152,175,1020,57,7,2172,4,11844,2.0806251010097463%,0,0,NA,0,0,NA,0,0,NA,2,5798,2.0370591583340945%,2,61695,20675,0,20675,41020,0,0,00:19:30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,3892,3322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57803,17353,1,0,0,0,0,NA,1,233,0.16372362328107765%
Carlos D. Mesa Gisbert,carlosdmesag,286305325299682,//www.facebook.com/286305325299682,2019-10-07 00:00:00,Yes,142811,0.35%,6,49909,179.21%,5.82%,"8,318.17",10160,12059,27690,19657,323,4873,122,32,2683,3,45368,10.588820188921023%,0,0,NA,0,0,NA,3,4541,1.0594421998305452%,0,0,NA,3,30600,16871,16871,0,13729,0,0,N/A,0,0,0,0,0,10887,3804,1,0,0,11305,8872,1,0,0,8408,4195,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,NA,0,0,NA
Carlos D. Mesa Gisbert,carlosdmesag,286305325299682,//www.facebook.com/286305325299682,2019-10-08 00:00:00,Yes,143437,0.44%,11,101414,103.2%,6.43%,"9,219.45",13685,15037,72692,47275,1439,16529,427,92,6929,4,78722,13.720309264694604%,0,0,NA,0,0,NA,2,14303,4.9854640016174345%,5,8389,1.1691544022811409%,7,448184,386777,359887,26890,61407,0,0,00:28:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397216,359887,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4731,3658,1,0,0,0,0,0,0,0,46237,23232,4,0,0,0,0,NA,0,0,NA
Carlos D. Mesa Gisbert,carlosdmesag,286305325299682,//www.facebook.com/286305325299682,2019-10-09 00:00:00,Yes,144348,0.64%,15,72458,-28.55%,3.35%,"4,830.53",6802,8089,57567,40700,444,8704,354,35,7330,5,54183,7.506858425471777%,0,0,NA,0,0,NA,1,5092,3.5275861113420346%,9,13183,1.0142156455233187%,10,132355,70531,29851,40680,61824,0,0,01:03:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40734,29851,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3175,2224,1,0,0,13954,6902,2,0,0,74492,31554,6,0,0,0,0,NA,0,0,NA
Carlos D. Mesa Gisbert,carlosdmesag,286305325299682,//www.facebook.com/286305325299682,2019-10-10 00:00:00,Yes,145175,0.57%,7,50286,-30.6%,4.95%,"7,183.71",6585,7472,36229,24609,733,4453,141,24,6269,3,12482,2.865507146547271%,0,0,NA,0,0,NA,3,36645,8.413983123816084%,1,1159,0.7983468228000689%,4,882329,774119,769671,4448,108210,0,0,00:05:53,0,0,0,0,0,115894,41609,1,0,0,0,0,0,0,0,760545,728062,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5890,4448,1,0,0,0,0,NA,0,0,NA
